ds,yhat,yhat_lower,yhat_upper
2026-05-18,5.909049727610734,3.2238346539769105,8.592091139019674
2026-05-19,6.0203906593135645,3.3710405577371296,8.541990311957099
2026-05-20,4.129191009454507,1.4392959395367149,6.909206849732931
2026-05-21,6.910572942905083,4.280492463010812,9.443275347490081
2026-05-22,4.908112732858662,2.138636126020766,7.536605353767422
2026-05-23,5.656921645614574,3.032463956144624,8.21217297910355
2026-05-24,5.031200941227331,2.184787549007551,7.587183109683465
2026-05-25,5.793859927295489,3.1872045114318355,8.279086546537728
2026-05-26,5.905200859008611,3.148337530356283,8.502195056670953
2026-05-27,4.014001209098484,1.4121079109389545,6.472102642173172
2026-05-28,6.795383142537652,4.161251873699194,9.337974112547982
2026-05-29,4.792922932476949,1.934011962740845,7.409415093792575
2026-05-30,5.541731845181171,2.8535045771066194,8.2492281377442
2026-05-31,4.916011140733701,2.2870580972360344,7.633678157937078
2026-06-01,5.678670126674465,2.959651636252371,8.355376980790721
2026-06-02,5.790011058272819,3.119685667326257,8.555554786758192
2026-06-03,3.89881140824504,1.2537256287382705,6.706749171583435
2026-06-04,6.680193341527382,4.000261075402017,9.268726648580529
2026-06-05,4.677733131269855,2.149682298349293,7.549889163612766
2026-06-06,5.426542043824473,2.763262971939283,8.06855856498891
2026-06-07,4.800821339246953,2.130020828368759,7.588695738202816
2026-06-08,5.56348032513263,2.852915540898871,8.23673023556581
2026-06-09,5.674821256713305,2.8977712030363314,8.383754931731213
2026-06-10,3.783621606735392,1.0021972837121147,6.331726166429188
2026-06-11,6.565003540044785,3.7051993437291513,9.052245026756642
2026-06-12,4.562543329610192,1.9486622393709292,7.304008294676057
2026-06-13,5.311352241974542,2.572605958521028,7.897343139338031
2026-06-14,4.685631537167747,2.091208501727745,7.2402750195391805
2026-06-15,5.448290522803406,2.8436982522687146,7.9750594257683165
2026-06-16,5.559631454015357,2.8833299270168005,8.3884713399313
2026-06-17,3.6684318036707846,1.0533538120047377,6.436558998153797
2026-06-18,6.4498137366514525,3.753139934181723,9.166089988276706
2026-06-19,4.4473535261299295,1.6590766059079918,7.219119618605109
2026-06-20,5.19616243837678,2.524803309880116,7.953640960079497
2026-06-21,4.570441733492526,2.005129019200221,7.469859376945334
2026-06-22,5.333100719035701,2.8430742760315653,8.016421255920228
2026-06-23,5.4444416502313375,2.714532315528471,8.203600036225847
2026-06-24,3.5532419998527613,0.832049818379922,6.189601821596753
2026-06-25,6.334623932785481,3.7020668260629894,9.031843846128325
2026-06-26,4.332163715776571,1.6125263395963054,6.946406114526958
2026-06-27,5.080972621536844,2.3871236927771027,7.666110282934389
2026-06-28,4.455251910153587,1.9620227051779333,7.197070390943392
2026-06-29,5.217910889149624,2.44229641539816,8.012855109926441
2026-06-30,5.329251813785814,2.850300780094707,8.005756976952611
2026-07-01,3.438052156804278,0.5239294343335195,6.250708020445605
2026-07-02,6.219434083136003,3.4133959102765976,8.89075616183384
2026-07-03,4.2169738660097815,1.3033745487201551,6.874102740934072
2026-07-04,4.965782771692125,2.3151286494818257,7.814881824440104
2026-07-05,4.340062060276753,1.6172602577820239,6.996159909930623
2026-07-06,5.102721039309592,2.7376991834765776,7.808345999232793
2026-07-07,5.214061964003788,2.5416164478348615,7.901201563026827
2026-07-08,3.3228623071267105,0.6805512190336467,5.962100196458719
2026-07-09,6.104244233554861,3.332076617646526,8.866415946489598
2026-07-10,4.1017840164797335,1.2354101652653253,6.748341483657595
2026-07-11,4.850592922214716,2.0499067630177694,7.438731780655983
2026-07-12,4.2248722108033245,1.432113795518632,7.0332992268686105
2026-07-13,4.987531189839541,2.4389338274498624,7.720928272506807
2026-07-14,5.098872114532551,2.219450518528123,7.782645574515345
2026-07-15,3.207672457654025,0.6608138724200571,5.847185306131328
2026-07-16,5.98905438407974,3.191169181618357,8.638135436523333
2026-07-17,3.98659416701311,1.4471315788597732,6.816834290990465
2026-07-18,4.735403072737307,2.1013029735078734,7.253343259525973
2026-07-19,4.10968236132265,1.4590306184197976,6.7952113023303085
2026-07-20,4.872341340362017,2.222434105544146,7.45085605619889
2026-07-21,4.983682265051354,2.2831161154705852,7.77053436120558
2026-07-22,3.0924826081777534,0.5882508253866393,5.85521856964276
2026-07-23,5.873864534604617,3.211491204729363,8.821626513188393
2026-07-24,3.87140431753448,1.3685311718141882,6.567073528882072
2026-07-25,4.620213223261773,1.8747731556847378,7.337985687025484
2026-07-26,3.9944925118419787,1.5152770084159202,6.64277103896269
2026-07-27,4.757151490884561,1.9521533048882076,7.314799176145519
2026-07-28,4.868492415582361,2.109255757685052,7.533985622460724
2026-07-29,2.97729275870148,0.5441679542164205,5.737134782824428
2026-07-30,5.758674685129133,2.9596666870594497,8.45723730835809
2026-07-31,3.7562144680587815,1.3067418651966494,6.248430061915762
2026-08-01,4.505023373790012,1.5083611963523569,7.092246561215349
2026-08-02,3.8793026623685494,1.186252780209609,6.2735127617912205
2026-08-03,4.641961641407104,1.8687777951299658,7.345069724653542
2026-08-04,4.753302566101165,2.0604083682991017,7.305230744915948
2026-08-05,2.862102909223406,0.06643590240237084,5.4140593201434175
2026-08-06,5.6434848356536484,3.0405717227113143,8.135665448391288
2026-08-07,3.6410246185801505,0.7689988678219438,6.328295857061962
2026-08-08,4.389833524306954,1.7689552312102514,7.006788678464334
2026-08-09,3.7641128128951213,1.042872654137452,6.395919236412557
2026-08-10,4.52677179192958,1.7703001377315952,7.079075305666694
2026-08-11,4.63811271662607,1.7611995387395423,7.3663396735110425
2026-08-12,2.746913059750721,0.11549393454408131,5.427007097239518
2026-08-13,5.528294986178526,2.946203746729366,8.089716150540804
2026-08-14,3.5258347691044536,0.7796985636856048,6.327013987498482
